naslov,leto_izdaje,avtor,ocena,stevilo_ocen
Rodrick Rules,2008,Jeff Kinney,4.42,123
Laut Bercerita,2017,Leila S. Chudori,4.20,69
Mein Kampf,1922,Adolf Hitler,3.81,37
The Green Mile,1996,Stephen King,4.30,80
Catch-22,1961,Joseph Heller,4.10,173
The Wrong Bride,2022,Catharina Maura,3.76,25
The Martian,2011,Andy Weir,4.38,280
Murder on the Orient Express,1933,Agatha Christie,4.08,91
James and the Giant Peach,1961,Roald Dahl,3.94,118
Double Down,2010,Jeff Kinney,4.52,96
The Wonderful Wizard of Oz,1900,L. Frank Baum,3.94,104
Ignite Me,2014,Tahereh Mafi,4.12,40
Adventures of Huckleberry Finn,1876,Mark Twain,3.75,172
Cabin Fever,2007,Jeff Kinney,4.51,118
Do Epic Shit,2021,Ankur Warikoo,4.09,22
Fire &amp; Blood,2018,George R. R. Martin,4.09,34
Romancing Mister Bridgerton,2002,Julia Quinn,4.38,34
Slaughterhouse-Five,1968,Kurt Vonnegut,4.19,233
三体,2008,刘慈欣,3.92,196
"Zero to One: Notes on Startups, or How to Build the Future",2001,Peter A. Thiel,4.22,49
The Midnight Library,2020,Matt Haig,4.17,36
Married at first sight,2015,Gu Lingfei,4.69,42
The Ballad of Songbirds and Snakes,2020,Suzanne Collins,4.28,32
Inheritance Games,2020,Jennifer Lynn Barnes,4.11,46
Fantastic Mr Fox,1970,Roald Dahl,3.91,104
Harry Potter and the Cursed Child,2001,Jack Thorne,4.00,100
Me Before You,2012,Jojo Moyes,4.17,53
A Tale of Two Cities,1800,Charles Dickens,3.77,172
कामसूत्र,1883,Mallanaga Vātsyāyana,3.69,26
The Curious Incident of the Dog in the Night-Time,1950,Mark Haddon,4.00,201
The Picture of Dorian Gray,1890,Oscar Wilde,4.10,79
Dog Man,2015,Dav Pilkey,4.59,107
Beloved,1987,Toni Morrison,3.85,61
Angels &amp; Demons,2000,Dan Brown,3.63,212
Confess,2015,Colleen Hoover,4.23,56
A Thousand Splendid Suns,2007,Khaled Hosseini,4.43,89
Think Like a Monk,2020,Jay Shetty,3.89,56
A Wrinkle in Time,1962,Madeleine L&#39;Engle,3.93,146
"Men are From Mars, Women are From Venus",1992,John Gray,3.72,46
The Titan&#39;s Curse,2007,Rick Riordan,4.46,123
Dracula,1897,Bram Stoker,4.06,127
Cien años de soledad,1967,Gabriel García Márquez,3.97,61
Things Fall Apart,1958,Chinua Achebe,4.00,61
The Very Hungry Caterpillar,1929,Eric Carle,3.97,88
The 48 Laws of Power,1998,Robert Greene,4.12,792
It Ends With Us,2012,Colleen Hoover,4.23,959
Moby Dick,1851,Herman Melville,3.81,127
A child called &quot;it&quot;,1987,David J. Pelzer,4.58,64
Hamlet,1603,William Shakespeare,4.00,139
The Subtle Art of Not Giving a F*ck,2016,Mark Manson,4.12,603
Atomic Habits,2016,James Clear,4.07,876
"I, Robot",1950,Isaac Asimov,4.22,152
Latidos Que No Dije,2022,Roos,4.33,492
Think and Grow Rich,1937,Napoleon Hill,4.02,374
Harry Potter and the Philosopher&#39;s Stone,1997,J. K. Rowling,4.25,741
It Starts with Us,2022,Colleen Hoover,3.99,310
"Rich Dad, Poor Dad",1990,Robert T. Kiyosaki,4.08,673
Control Your Mind and Master Your Feelings,2019,Eric Robertson - undifferentiated,3.80,352
A Game of Thrones,1996,George R. R. Martin,4.24,560
A Court of Mist and Fury,2014,Sarah J. Maas,3.96,363
Twisted Love,2021,Ana Huang,3.75,172
The Psychology of Money,2020,Morgan Housel,4.05,215
How to Win Friends and Influence People,1913,Dale Carnegie,4.28,257
Haunting Adeline,2021,H. D. Carlton,3.62,152
Um casamento arranjado,2019,Zana Kheiron,4.13,1120
The Love Hypothesis,2021,Ali Hazelwood,4.12,191
Shatter Me,2011,Tahereh Mafi,3.97,136
The Power of Now: A Guide to Spiritual Enlightenment,1997,Eckhart Tolle,3.72,87
Hunting Adeline,2022,H. D. Carlton,3.78,69
The Giver,1993,Lois Lowry,4.04,264
It,1986,Stephen King,4.10,428
The Spanish Love Deception,2021,Elena Armas,3.91,57
The Book Thief,1998,Markus Zusak,4.22,112
The Summer I Turned Pretty Trilogy,2009,Jenny Han,4.40,68
A Brief History of Time,1988,Stephen Hawking,4.15,185
Carrie,1974,Stephen King,4.01,132
They Both Die at the End,2017,Adam Silvera,4.07,56
The Catcher in the Rye,1900,J. D. Salinger,3.60,322
Punk 57,2016,Penelope Douglas,3.86,44
Six of Crows,2001,Leigh Bardugo,4.60,67
Don&#39;t Believe Everything You Think,2022,Joseph Nguyen,4.24,45
The Eyes of Darkness,1981,Dean Koontz,3.87,167
The Perks of Being a Wallflower,1999,Stephen Chbosky,4.28,85
Milk and Honey,2014,Rupi Kaur,4.04,106
The Shining,1977,Stephen King,4.17,240
Dog Days,2004,Carol Cox,4.46,134
Matilda,1988,Roald Dahl,4.39,237
A Little Life,2015,Hanya Yanagihara,3.97,71
Romeo and Juliet,1597,William Shakespeare,3.64,163
Girl In pieces: a Novel,2016,Kathleen Glasgow,4.34,58
Little Women,1848,Louisa May Alcott,4.11,106
Wuthering Heights,1847,Emily Brontë,3.93,203
Ikigai: The Japanese Secret to a Long and Happy Life,2017,Héctor García,4.00,58
The Adventures of Sherlock Holmes [12 stories],1892,Arthur Conan Doyle,4.19,151
Charlie and the Chocolate Factory,1964,Roald Dahl,4.03,231
Deep Work: Rules for Focused Success in a Distracted World,2016,Cal Newport,3.87,128
Lord of Flies,1954,William Golding,3.65,327
Lolita,1955,Vladimir Nabokov,3.94,82
Reminders of Him,2022,Colleen Hoover,4.06,52
The Handmaid&#39;s Tale,1985,Margaret Atwood,3.87,83
Le petit prince,1943,Antoine de Saint-Exupéry,4.40,144
12 Rules for Life: An Antidote to Chaos,2015,Jordan B. Peterson,3.86,97
How to Talk to Anyone,1999,Leil Lowndes,3.77,39
Misery,1978,Stephen King,4.08,103
Coraline,2002,Neil Gaiman,4.04,170
Girl in Pieces,2016,Kathleen Glasgow,4.22,63
Hatchet,1986,Gary Paulsen,4.19,139
The Kite Runner,2003,Khaled Hosseini,4.08,98
The Lord of the Rings,1954,J.R.R. Tolkien,4.55,78
The Great Gatsby,1920,F. Scott Fitzgerald,3.99,146
Holes,1988,Louis Sachar,4.24,165
The Old Man and the Sea,1952,Ernest Hemingway,3.91,192
Pet Sematary,1983,Stephen King,4.06,162
The fellowship of the ring,1954,J.R.R. Tolkien,4.35,325
The Lost Hero,2010,Rick Riordan,4.44,133
Better Than the Movies,2021,Lynn Painter,3.71,42
The Hitch Hiker&#39;s Guide to the Galaxy,1979,Douglas Adams,4.52,130
Divergent,2010,Veronica Roth,3.93,168
Het Achterhuis,1944,Anne Frank,4.21,108
The Four Agreements,1997,Don Miguel Ruiz,3.91,47
You&#39;ve Reached Sam,2021,Dustin Thao,4.09,68
Of Mice and Men,1937,John Steinbeck,3.96,237
American Psycho,1991,Bret Easton Ellis,3.89,83
The Maze Runner,2009,James Dashner,3.98,125
... Trotzdem Ja zum Leben sagen,1946,Viktor E. Frankl,4.29,152
Meditations,1626,Marcus Aurelius,3.96,107
To All the Boys I&#39;ve Loved Before,2014,Jenny Han,4.46,54
"Heartstopper, Volume 2",2019,Alice Oseman,4.08,40
Percy Jackson&#39;s Greek Gods,2014,Rick Riordan,4.69,67
The Color Purple,1976,Alice Walker,4.21,73
É assim que começa,2022,Colleen Hoover,4.19,31
A Thousand Boy Kisses,2016,Tillie Cole,3.26,19
Analisis laporan keuangan,2012,Kasmir,4.33,45
Trading in the zone,2000,Mark Douglas,4.10,31
Influence,1983,Robert B. Cialdini,3.96,55
A Gentleman in Moscow,2016,Amor Towles,3.89,66
"Rich Dad, Poor Dad for Teens",2004,Robert T. Kiyosaki,3.79,24
The Name of the Wind,2007,Patrick Rothfuss,4.29,169
The God Delusion,2001,Richard Dawkins,3.86,121
Northern Lights,1995,Philip Pullman,3.98,191
Guess How Much I Love You,1839,Sam McBratney,4.27,59
The Mark of Athena,2011,Rick Riordan,4.51,96
Hopeless,2013,Colleen Hoover,4.00,19
Flowers in the Attic,1979,V. C. Andrews,4.05,64
Eat That Frog! 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,2001,Brian Tracy,4.00,40
Where the Wild Things Are,1600,Maurice Sendak,4.18,90
Esperanza Rising,2000,Pam Muñoz Ryan,4.13,38
The Sweetest Oblivion,2018,Danielle Lori,3.87,23
The Prince,1515,Niccolò Machiavelli,3.78,81
The Grapes of Wrath,1939,John Steinbeck,3.95,82
Macbeth,1508,William Shakespeare,3.95,109
Marketing Management,2016,Philip Kotler,4.37,35
