naslov,leto_izdaje,avtor,ocena,stevilo_ocen
Fifty Shades Darker,2011,E. L. James,3.42,31
Five Feet Apart,2018,Rachael Lippincott,4.52,33
Eclipse,2006,Stephenie Meyer,3.55,94
Cell,2006,Stephen King,3.65,115
"After (After Series, Book 1)",2014,Anna Todd,4.22,45
Cinder,2011,Marissa Meyer,4.12,40
The Hidden Oracle: Trials of Apollo,2014,Rick Riordan,4.54,50
Daisy Jones &amp; The Six: A Novel,2019,Taylor Jenkins Reid,3.85,34
Hard Luck,2001,Jeff Kinney,4.08,65
"Heartstopper, Volume 3",2020,Alice Oseman,4.74,23
The Adventures of Captain Underpants,1997,Dav Pilkey,4.25,55
Perfume: The Story of a Murderer,1985,Patrick Süskind,3.80,61
The Third Wheel,2003,Jeff Kinney,4.10,62
Las 48 leyes del poder,1998,Robert Greene,4.10,20
Bumi manusia,1972,Pramoedya Ananta Toer,4.75,36
On The Road,1957,Jack Kerouac,3.45,74
Crank,2001,Ellen Hopkins,4.48,25
Dork Diaries 3,2008,Rachel Renée Russell,4.22,50
The C Programming Language,1978,Brian W. Kernighan,4.25,36
Brutal Prince,2020,Sophie Lark,3.61,18
The Murder of Roger Ackroyd,1926,Agatha Christie,4.12,51
The untethered soul,2007,Michael A. Singer,4.28,18
The Haunting of Hill House,1959,Shirley Jackson,4.03,63
When Breath Becomes Air,2016,Paul Kalanithi,3.82,22
Destroy Me,2012,Tahereh Mafi,4.40,15
A Clash of Kings,1998,George R. R. Martin,4.30,172
Hábitos atómicos / Atomic Habits,2016,James Clear,4.12,17
The Return of the King,1950,J.R.R. Tolkien,4.37,86
Das Kapital,1867,Karl Marx,4.50,14
The Psychology of Everyday Things,1988,Donald A. Norman,4.10,52
Turtles All the Way Down,2017,John Green,4.33,52
An Offer from a Gentleman,2001,Julia Quinn,3.75,20
Oliver Twist,1838,Charles Dickens,4.03,65
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,1980,Oliver Sacks,4.06,53
Dune Messiah,1969,Frank Herbert,3.89,112
Redeeming Love,1991,Francine Rivers,4.32,31
The Clan of the Cave Bear,1900,Jean M. Auel,4.13,61
Priest,2015,Sierra Simone,4.56,9
My Fault,2021,Mercedes Ron,3.82,11
Gorin no sho,1963,Miyamoto Musashi,3.33,15
A Christmas Carol,1843,Charles Dickens,3.89,81
Don Quixote,1600,Miguel de Cervantes Saavedra,3.77,44
I will teach you to be rich,2009,Ramit Sethi,4.50,10
Insurgent,2011,Veronica Roth,3.98,91
Atlas Shrugged,1936,Ayn Rand,3.32,100
Bared to You,2012,Sylvia Day,4.31,16
The Bazaar of Bad Dreams,2015,Stephen King,4.10,30
Mercury and me,1995,Jim Hutton,4.05,20
The artist&#39;s way: a spiritual path to higher creativity,1992,Julia Cameron,3.38,13
The Graveyard Book,2008,Neil Gaiman,4.23,104
Meditations,2006,Marcus Aurelius,3.33,6
Calculus,1986,James Stewart,4.06,17
Naledi his love,2015,Dudu Busani-Dube,3.81,21
Pillow thoughts,2017,Courtney Peppernell,4.33,12
Project Hail Mary,2021,Andy Weir,4.47,99
Before December,2021,Joana Marcus,4.37,41
Uno siempre cambia al amor de su vida,2013,Amalia Andrade Arango,4.20,25
"After We Collided (After Series, Book 2)",2014,Anna Todd,4.30,20
The Wealth of Nations,1776,Adam Smith,4.07,27
Мастер и Маргарита,1966,Михаил Афанасьевич Булгаков,4.20,74
Snow Crash,1992,Neal Stephenson,4.03,172
Jung&#39;s map of the soul,1998,Murray Stein,4.70,27
How to read a book: the art of getting a liberal education,1940,Mortimer J. Adler,4.33,15
Diary of an Oxygen Thief,2006,Anonymous,4.38,8
"Full Dark, No Stars",2010,Stephen King,4.07,42
Giovanni&#39;s Room,1956,James Baldwin,4.21,29
Hyperion,1989,Dan Simmons,4.19,133
"Rich Dad, Poor Dad 2 (Rich Dad)",2000,Robert T. Kiyosaki,4.38,8
The Joy Luck Club,1989,Amy Tan,4.00,43
Ikigai,2021,Chiemi Souen,4.10,10
Manifest der Kommunistischen Partei,1848,Karl Marx,3.39,67
Manifest der Kommunistischen Partei,1848,Karl Marx,3.39,67
The hidden hindu,2021,Akshat Gupta,3.85,20
How to Become a People Magnet,2018,Marc Reklau,3.50,8
"Gödel, Escher, Bach: An Eternal Golden Braid",1979,Douglas R. Hofstadter,4.19,59
Miss Nelson is missing!,1977,Harry Allard,4.04,26
The Girl Who Drank the Moon,2016,Kelly Regan Barnhill,4.00,29
Everything I Know About Love,2018,Dolly Alderton,2.43,7
Inferno,2013,Dan Brown,3.72,53
Persuasion,1789,Jane Austen,4.27,33
War and Peace,1864,Лев Толстой,4.52,23
Peter Pan,1911,J. M. Barrie,3.72,32
Mythology: Timeless Tales of Gods and Heroes,1940,Edith Hamilton,4.17,18
The Age of Innocence,1920,Edith Wharton,3.48,42
Miss Peregrine&#39;s Home for Peculiar Children,2011,Ransom Riggs,4.61,31
The Red Pyramid,2010,Rick Riordan,4.19,42
One of us is next,2020,Karen M. McManus,3.94,17
Mere Christianity,1943,C.S. Lewis,4.38,39
World War Z: An Oral History of the Zombie War,2006,Max Brooks,3.89,110
Think Again,2021,Adam Grant,3.59,22
Aplikasi Analisis Multivariate Dengan Program IBM SPSS 25 (9th ed),2018,"Imam ghozali, 2018",4.15,33
The Night Circus,2011,Erin Morgenstern,4.25,52
Anatomy: descriptive and surgical,1858,Henry Gray F.R.S.,4.30,20
En man som heter Ove,2012,Fredrik Backman,4.22,55
The kiss quotient,2018,Helen Hoang,4.25,8
Spare,2023,"Prince Harry, Duke of Sussex",3.87,23
Parable of the sower,1993,Octavia E. Butler,4.53,36
The Lost Symbol,2009,Dan Brown,3.61,76
Red Dragon,1981,Thomas Harris,4.23,30
The Silence of the Lambs,1988,Thomas Harris,4.17,35
For Whom the Bell Tolls,1940,Ernest Hemingway,3.47,15
Learning Python,1999,Mark Lutz,4.09,11
Mr. Mercedes,2013,Stephen King,4.10,42
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",2006,Steve Harvey,4.45,11
She Is the Poem,2022,June Bates,4.56,9
Just Mercy,1600,Bryan Stevenson,4.21,24
海辺のカフカ,2001,村上春樹,4.05,73
Steal like an artist,2012,Austin Kleon,4.08,39
"Heartstopper, Volume 4",2021,Alice Oseman,4.38,21
Death of a Salesman,1940,Arthur Miller,4.04,57
My side of the mountain,1959,Jean Craighead George,4.11,38
2001: A Space Odyssey,1968,Arthur C. Clarke,4.16,116
La Peste,1942,Albert Camus,3.90,20
Imaginaria,2018,Kristopher Rodas,4.65,31
The Darkest Minds,2012,Alexandra Bracken,4.00,37
You&#39;re Too Good to Feel This Bad,2020,Nate Dallas,3.82,11
Mastery,2012,Robert Greene,3.96,25
The One and Only Ivan,2011,Katherine Applegate,4.38,42
Principles of marketing,1980,Philip Kotler,4.69,13
"Bud, Not Buddy",1994,Christopher Paul Curtis,4.61,28
One of us is next,2020,Karen M. McManus,3.94,17
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,1974,Robert M. Pirsig,3.85,110
Il nome della rosa,1980,Umberto Eco,4.15,99
Atonement,1808,Ian McEwan,3.71,38
Study Guide,2017,SuperSummary,3.25,4
The Mysterious Affair at Styles,1920,Agatha Christie,3.93,55
The Man in the High Castle,1962,Philip K. Dick,3.56,105
Night Shift,1960,Stephen King,4.46,24
If You Could See the Sun,2022,Ann Liang,4.17,6
The Satanic Verses,1988,Salman Rushdie,3.62,24
Everything is F*cked,2019,Mark Manson,3.63,19
πολιτεία,1554,Πλάτων,3.78,50
The Ocean at the End of the Lane,2013,Neil Gaiman,4.12,105
The Second Sex,1949,Simone de Beauvoir,4.17,12
Fifty Shades Freed,2011,E. L. James,3.48,31
Moonwalking with Einstein,2011,Joshua Foer,3.89,35
Watchmen,1987,Alan Moore,4.40,180
The Glass Castle,2005,Jeannette Walls,4.40,45
The millionaire next door,1996,Thomas J. Stanley,3.96,24
Women in Love,1877,David Herbert Lawrence,3.60,15
Time Traveler&#39;s Wife,2003,Audrey Niffenegger,4.10,48
Half Girlfriend,2014,Chetan Bhagat,3.62,24
The Complete Maus,1986,Art Spiegelman,4.61,70
The Sword of Summer,2015,Rick Riordan,4.32,40
Maybe You Should Talk to Someone,2019,Lori Gottlieb,4.23,22
The Left Hand of Darkness,1900,Ursula K. Le Guin,4.32,37
Outwitting the devil,2011,Napoleon Hill,4.60,15
Kindred,1979,Octavia E. Butler,4.44,39
How to Stop Worrying and Start Living,1936,Dale Carnegie,4.50,10
1st to Die,2001,James Patterson,4.45,22
Prince Caspian,1951,C.S. Lewis,3.96,85
The compound effect,2010,Darren Hardy,4.71,7
After,2014,Anna Todd,4.50,14
Passing,1929,Nella Larsen,4.22,9
The Immortal Life of Henrietta Lacks,2009,Rebecca Skloot,4.21,39
The 33 Strategies of War,1998,Robert Greene,4.30,10
The obstacle is the way,2014,Ryan Holiday,3.70,23
American Roommate Experiment,2022,Elena Armas,3.43,14
The House on Mango Street,1983,Sandra Cisneros,3.90,31
Man&#39;s Search for Meaning [adaptation],2006,Viktor E. Frankl,3.57,7
Five Nights at Freddy&#39;s Character Encyclopedia (an AFK Book) (Media Tie-In),2023,Scott Cawthon,4.07,27
Stardust,1997,Neil Gaiman,3.87,71
Psychology,1989,Wayne Weiten,4.35,17
The Screwtape Letters,1942,C.S. Lewis,4.15,27
Watership Down,1972,Richard Adams,4.13,84
Flow,1990,Mihaly Csikszentmihalyi,4.07,28
The Strength in Our Scars,2018,Bianca Sparacino,4.38,8
Cat&#39;s Cradle,1963,Kurt Vonnegut,3.99,99
A Good Girls Guide to Murder,2019,Holly Jackson,3.40,5
Little girl lost,1990,Drew Barrymore,4.20,5
One thousand ways to make  $1000,1940,Frances Mary Cowan Minaker,3.64,22
My Year of Rest and Relaxation,2018,Ottessa Moshfegh,4.00,23
La Nuit,1955,Elie Wiesel,4.68,25
Solitaire,2014,Alice Oseman,4.73,11
The daily stoic,2016,Ryan Holiday,4.20,5
The Daily Laws,2021,Robert Greene,3.56,9
Mindset,2006,Carol S. Dweck,4.40,5
Introduction to Psychology,1956,Clifford Thomas Morgan,3.50,16
A Study in Scarlet,1887,Arthur Conan Doyle,3.90,82
Something I Never Told You,2019,Shravya Bhinder,4.45,11
Allegiant,2001,Veronica Roth,4.08,64
Red Queen,2015,Victoria Aveyard,4.12,24
The Exorcist,1971,William Peter Blatty,4.00,13
A Room of One&#39;s Own,1929,Virginia Woolf,4.17,23
Biology,1987,Neil Alexander Campbell,3.89,18
Into the Wild,1996,Jon Krakauer,3.83,64
Psycho-cybernetics,1960,Maxwell Maltz,3.83,6
Paradise Lost,1667,John Milton,3.72,25
Final Offer,2023,Lauren Asher,3.75,20
"Tale of Despereaux: being the story of a mouse, a princess, some soup, and a spool of thread",2003,Kate DiCamillo,4.02,46
George&#39;s Marvelous Medicine,1981,Roald Dahl,3.66,41
Scythe,2016,Neal Shusterman,4.53,17
Demian: Die Geschichte von Emil Sinclairs Jugend,1919,Hermann Hesse,4.11,37
Silent Vows,2022,Jill Ramsower,4.44,9
Fox in Socks,1965,Dr. Seuss,4.07,27
The art of loving,1956,Erich Fromm,3.81,27
Refugee,2017,Alan Gratz,3.86,29
Big Shot,2016,Jeff Kinney,4.47,17
The Dead Zone,1882,Stephen King,4.17,35
Gerald&#39;s Game,1992,Stephen King,3.73,30
Wolves of the Calla,2003,Stephen King,4.04,170
The Dark Prophecy,2017,Rick Riordan,4.72,29
Crown of Midnight,2013,Sarah J. Maas,4.68,25
The Hound of the Baskervilles,1900,Arthur Conan Doyle,3.95,43
The Jungle,1905,Upton Sinclair,3.93,42
Wicca,1988,Scott Cunningham,3.84,19
The monk who sold his Ferrari,1996,Robin S. Sharma,3.94,16
Roller Girl,2014,Victoria Jamieson,4.48,52
Ostatnie Życzenie,1993,Andrzej Sapkowski,4.04,47
Airframe,1751,Michael Crichton,3.71,79
the words i wish i said,2018,caitlin kelly,3.58,12
Tempest,1611,William Shakespeare,3.98,49
The Almanack of Naval Ravikant,2020,Eric Jorgenson,4.60,5
The Nightingale,2000,Kristin Hannah,4.63,30
Becoming Supernatural,2018,Dr. Joe Dispenza,3.60,5
I Want to Die but I Want to Eat Tteokbokki,2022,Baek Sehee,3.62,13
The Girl on the Train,2014,Paula Hawkins,3.62,71
Do It Today,2018,Darius Foroux,3.08,13
Chicka chicka boom boom,1989,Bill Martin Jr.,3.81,26
The art of thinking clearly,2013,Rolf Dobelli,4.19,16
Baby Einstein,2001,Julie Aigner-Clark,3.69,13
Through the Looking-Glass,1871,Lewis Carroll,3.91,45
Mrs. Dalloway,1925,Virginia Woolf,3.69,39
Winnie-the-Pooh,1925,A. A. Milne,4.13,52
Crazy Rich Asians,2013,Kevin Kwan,4.09,32
Maurice,1971,Edward Morgan Forster,3.92,12
Dork Diaries: Tales from a Not-so-friendly frenemy,2016,Rachel Renée Russell,4.16,38
A Farewell to Arms,1929,Ernest Hemingway,3.70,47
The Satanic Bible,1969,Anton Szandor LaVey,4.26,19
The way of the superior man,1997,David Deida,5.00,7
City of Bones: The Mortal Instruments Book 1,2007,Cassandra Clare,4.02,56
Fundamentals of physics,1970,David Halliday,4.41,17
The Secret Language of Relationships,1997,Gary Goldschneider,4.29,7
You&#39;d Be Home Now,2021,Kathleen Glasgow,4.09,11
We Have Always Lived in the Castle,1962,Shirley Jackson,4.36,45
The Screaming Staircase,2013,Jonathan Stroud,4.52,21
Heir of Fire,2014,Sarah J. Maas,4.10,29
On the origin of species by means of natural selection,1859,Charles Darwin,4.20,20
Ulysses,1920,James Joyce,3.53,15
Regretting You,2019,Colleen Hoover,4.80,5
What If?,1980,Randall Munroe,4.34,91
Social welfare and social work,1981,Thelma Lee-Mendoza,4.17,29
The Giving Tree,1964,Shel Silverstein,4.21,90
Refugee,2017,Alan Gratz,3.86,29
1984 (adaptation),2003,Michael Dean,4.67,15
Dotcom Secrets,2015,Russell Brunson,5.00,3
Purple Hibiscus,2003,Chimamanda Ngozi Adichie,4.50,20
Lonesome Dove,1985,Larry McMurtry,4.35,46
Statistics for management,1978,Richard I. Levin &amp; David S. Rubin,3.58,12
Getting Started Becoming a Master Hacker,2019,Occupytheweb,4.50,10
Things Have Gotten Worse Since We Last Spoke,2021,Eric Larocca,2.88,8
Behind closed doors,2016,Freida McFadden,3.46,13
Братья Карамазовы,1880,Фёдор Михайлович Достоевский,4.32,47
Companion Workbook : Atomic Habits,2019,Julie Ann Price,4.00,10
The Return of Sherlock Holmes,1903,Arthur Conan Doyle,4.24,25
Winnie-the-Pooh,1925,A. A. Milne,4.13,52
Dark Matter,2016,Blake Crouch,4.05,66
Never Split the Difference,2016,Chris Voss,4.00,11
Abnormal psychology,1974,Gerald C. Davison,4.35,17
Surrounded by Psychopaths,2020,Thomas Erikson,4.33,12
Once Upon a Broken Heart,2021,Stephanie Garber,3.14,14
The Wind in the Willows,1908,Kenneth Grahame,4.12,40
One of Us is Lying,2017,Karen M. McManus,4.25,12
Out of my mind,2010,Sharon M. Draper,4.64,25
$100M Offers,2021,Alex Hormozi,4.67,12
"&quot;Surely You&#39;re Joking, Mr. Feynman&quot;: Adventures of a Curious Character",1984,Richard Phillips Feynman,4.19,97
Culpa tuya,2017,Mercedes Ron,3.94,18
UNA VIDA SIN SALUD MENTAL,2022,ALBA GONZALEZ,4.29,34
A Long Way Gone,2007,Ishmael Beah,4.12,34
The Forty Rules of Love,2010,Elif Shafak,4.12,8
Dream Psychology,2017,Sigmund Freud,4.33,9
A Discovery of Witches,2011,Deborah E. Harkness,3.80,44
From Blood and Ash,2020,Jennifer L. Armentrout,4.07,14
Heartless,2016,Marissa Meyer,4.00,18
The Sun Also Rises,1926,Ernest Hemingway,3.76,21
sistem informasi akuntansi,2004,"Romney Marshall, B., and Paul Jhon Stein...",4.67,18
Chicken Little (Read-Aloud Storybook),2005,RH Disney,3.63,27
Losing hope,2013,Colleen Hoover,4.71,7
The Witching Hour,1990,Anne Rice,4.24,21
"The alchemist, 1612",1612,Ben Jonson,4.15,26
The personal MBA,2012,Josh Kaufman,5.00,6
A People&#39;s History of the United States: 1492-present,1980,Howard Zinn,4.00,35
Tale of Peter Rabbit,1920,Beatrix Potter,3.87,38
Gideon the Ninth,2019,Tamsyn Muir,4.26,57
A Court of Silver Flames,2021,Sarah J. Maas,4.55,20
The Phantom Prince: My Life with Ted Bundy,1981,Elizabeth Kendall,3.67,3
She comes first: the thinking man&#39;s guide to pleasuring a woman,2004,Ian Kerner,3.86,14
Rendezvous with Rama,1973,Arthur C. Clarke,4.17,89
White Fang,1905,Jack London,3.96,52
The Princess Bride,1973,William Goldman,4.21,89
The selfish gene,1976,Richard Dawkins,4.37,60
Killing floor,1997,Lee Child,3.72,32
Little Fires Everywhere,2014,Celeste Ng,3.90,40
Love and Other Words,2018,Christina Lauren,4.75,4
"One Fish, Two Fish, Red Fish, Blue Fish",1960,Dr. Seuss,3.86,56
Love Theoretically,2023,Ali Hazelwood,3.88,8
ההיסטוריה של המחר,2015,Yuval Noah Harari,4.17,30
Fear Street - The New Girl,1989,R. L. Stine,4.04,24
The Rudest Book Ever,2019,Shwetabh Gangwar,4.50,14
People We Meet On Vacation,2021,Emily Henry,4.00,13
Crucial Conversations: Tools for Talking When Stakes are High,2001,Kerry Patterson,3.89,19
We Have Always Lived in the Castle,1962,Shirley Jackson,4.36,45
Introduction to Algorithms,1990,Thomas H. Cormen,4.05,19
Rich Dad Poor Dad: 20th Anniversary Edition,2019,Robert T. Kiyosaki,4.60,5
Mrs. Frisby and the Rats of Nimh,1970,Robert C. O&#39;Brien,4.05,40
Concepts of physics,1993,Harish Chandra Verma,4.56,16
Great Sf Heinlein Bxs,1980,Robert A. Heinlein,3.65,68
3am Questions,2021,Annika M. Zimmermann,3.06,16
The fire next time,1962,James Baldwin,4.52,29
Maybe not,2014,Colleen Hoover,3.67,12
Building a Second Brain,2022,Tiago Forte,3.83,6
Como convencer alguém em 90 segundos (Portuguese Edition),2013,Nicholas Boothman,4.52,21
Birthday Girl,2018,Penelope Douglas,4.50,4
One Flew Over the Cuckoo&#39;s Nest,1962,Ken Kesey,4.11,27
Harry Potter (series) 1-7,1999,J. K. Rowling,4.56,39
Eldest,2005,Christopher Paolini,4.09,56
Jenseits von Gut und Böse: prelude to a philosophy of the future,1885,Friedrich Nietzsche,4.31,16
Terms and Conditions,2022,Lauren Asher,4.00,8
Sharp Objects,2006,Gillian Flynn,3.76,25
You/2: a high-velocity formula for multiplying your peronal effectiveness in quantum leaps,1987,Price Pritchett,3.64,11
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,2017,William H. McRaven,3.86,7
Jenseits von Gut und Böse: prelude to a philosophy of the future,1885,Friedrich Nietzsche,4.31,16
Demon Slayer,2018,Koyoharu Gotōge,4.62,37
Divina Commedia,1484,Dante Alighieri,3.83,24
Losing hope,2013,Colleen Hoover,4.71,7
Their Eyes Were Watching God,1937,Zora Neale Hurston,4.08,37
Neverwhere,1996,Neil Gaiman,4.12,109
Algorithms to Live By: The Computer Science of Human Decisions,2016,Brian Christian,3.97,36
The Lost World,1900,Arthur Conan Doyle,3.94,33
A Canticle for Leibowitz,1959,Walter M. Miller Jr.,3.82,67
Every Summer After,2022,Carley Fortune,4.67,6
Mindset,2006,Carol S. Dweck,3.69,13
The Waste Lands,1991,Stephen King,4.16,73
Every last word,2015,Tamara Ireland Stone,4.09,11
Too Late,2016,Colleen Hoover,3.00,2
Doctor Sleep,2013,Stephen King,4.21,34
Different Seasons,1982,Stephen King,4.59,17
Principles of Anatomy and Physiology,1975,Gerard J. Tortora,3.56,9
Firestarter,1980,Stephen King,3.95,22
Inferno,1782,Dante Alighieri,4.50,10
The Assassin’s Blade: Throne of Glass Novellas,2014,Sarah J. Maas,4.45,11
It Happened One Summer,2021,Tessa Bailey,3.00,6
Norse Mythology,2016,Neil Gaiman,4.42,31
Half of a Yellow Sun,2006,Chimamanda Ngozi Adichie,4.35,26
"Why Nations Fail: The Origins of Power, Prosperity and Poverty",2012,Daron Acemoglu,3.60,25
Paul Klee,1930,Paul Klee,3.64,14
Bridge to Terabithia,1972,Katherine Paterson,4.02,46
We&#39;ll Always Have Summer,2011,Jenny Han,4.19,16
La Poetica,1479,Aristotle,3.67,12
Danse Macabre,1980,Stephen King,3.87,112
Physics,1472,Aristotle,3.71,17
Show me!,1975,Will McBride,5.00,3
Dragonflight,1968,Anne McCaffrey,4.06,35
Treasure,1988,Clive Cussler,3.92,137
Queen of Shadows,2015,Sarah J. Maas,4.64,22
"Rica daida, puara daida",2003,Robert T. Kiyosaki,3.80,20
The Awakening,1899,Kate Chopin,3.58,31
Suicide notes,2008,Michael Thomas Ford,4.86,14
How to Raise Your Own Salary,1953,Napoleon Hill,4.11,9
The Vampire Lestat,1986,Anne Rice,4.29,38
A New Earth,2005,Eckhart Tolle,3.84,19
Painted Scars,2022,Neva Altaj,3.50,10
"No, David!",1998,David Shannon,3.95,19
What every BODY is saying,2008,Joe Navarro,3.58,12
Walden,1854,Henry David Thoreau,4.00,25
Origin,2013,Dan Brown,3.65,34
Five Love Languages,1992,Gary D. Chapman,4.29,17
Crying in H Mart,2021,Michelle Zauner,3.64,14
Mindhunter,1995,John E. Douglas,3.82,11
Little House in the Big Woods,1932,Laura Ingalls Wilder,3.96,46
Attitude Is Everything,1999,Jeff Keller,4.00,11
La casa de los espíritus,1982,Isabel Allende,4.40,15
Introductory Mathematical Analysis,1973,Ernest F. Haeussler,3.00,3
The Great Hunt (The Wheel of Time Book 2),1990,Robert Jordan,4.15,80
A Confederacy of Dunces,1980,John Kennedy Toole,3.73,71
Aghor Nagara Vage,1982,Mohanalāla Agravāla,3.76,17
Nesnesitelná lehkost bytí,1984,Milan Kundera,4.20,70
Redwall (Redwall #1),1986,Brian Jacques,4.12,32
Being Mortal,2014,Atul Gawande,4.48,31
The Tipping Point: How Little Things Can Make a Big Difference,2000,Malcolm Gladwell,3.80,90
The antecedents of self-esteem / Stanley Coopersmith,1967,Stanley Coopersmith,4.69,13
The Stepford Wives,1972,Ira Levin,3.45,22
The Lean Startup,2011,Eric Ries,4.33,3
The Notebook,1996,Nicholas Sparks,3.50,16
Missing 411: Western United States and Canada,2011,David Paulides,3.44,9
Dork Diaries 15: Tales from a Not-So-Posh Paris Adventure,2010,Rachel Renée Russell,4.74,23
Heidi,1885,Johanna Spyri,3.98,41
The Things We Leave Unfinished,2021,Rebecca Yarros,3.88,8
The Queen of Nothing,2019,Holly Black,4.30,10
On Earth We&#39;re Briefly Gorgeous,2019,Ocean Vuong,4.23,22
Goosebumps - Welcome to Dead House,1992,R. L. Stine,4.12,26
The Absolutely True Diary of a Part-Time Indian,2007,Sherman Alexie,3.61,28
One True Loves,2016,Taylor Jenkins Reid,4.00,15
Consider Me,2022,Becka Mack,3.67,3
Charlie and the Great Glass Elevator,1972,Roald Dahl,3.41,46
Deception Point,2001,Dan Brown,3.27,90
Begin Smart,2008,Begin Smart Books,4.07,14
The millionaire fastlane,2011,M. J. DeMarco,3.93,15
Bunnicula,1979,Deborah Howe,4.14,21
The Hiding Place,1971,Corrie ten Boom,4.53,19
The Price of Salt,1952,Patricia Highsmith,4.55,20
The Wise Man’s Fear,2011,Patrick Rothfuss,4.29,134
A Touch of Darkness,2019,Scarlett St. Clair,5.00,4
The Mountain Is You: Transforming Self-Sabotage into Self-Mastery,2020,Brianna Wiest,2.25,4
Heal. Grow. Love.,2021,Pierre Alex Jeanty,4.00,6
Master Your Emotions,2018,Thibaut Meurisse,3.00,8
The moon is a harsh mistress,1965,Robert A. Heinlein,4.00,71
Your Next Five Moves,2020,Patrick Bet-David,3.33,6
"Revolution 2020: love, corruption, ambition",2011,Chetan Bhagat,3.50,26
Are You My Mother?,1960,P. D. Eastman,4.30,54
The lovely bones,2002,Alice Sebold,3.21,57
Shapes in the Sky: A Book About Clouds (Amazing Science: Weather),2003,Josepha Sherman,3.92,13
21 Lessons for the 21st Century,2018,Yuval Noah Harari,3.94,35
The Lean Startup: How Today&#39;s Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,2011,Eric Ries,4.11,47
A New Earth,2005,Eckhart Tolle,3.84,19
The Vampire Lestat,1986,Anne Rice,4.29,38
"Rica daida, puara daida",2003,Robert T. Kiyosaki,3.80,20
The Tower of Nero,2020,Rick Riordan,4.79,19
Hearts in Atlantis,1998,Stephen King,3.96,27
Stormbreaker,2000,Anthony Horowitz,3.94,31
The Eyes of the Dragon,1959,Stephen King,4.38,24
i too had a love story,2009,Ravinder Singh,3.62,13
A Storm of Swords,2000,George R. R. Martin,4.44,95
Diper Överlöde,2022,Jeff Kinney,4.41,17
Save Me,2018,Kasten  Mona,3.18,11
The Island of Dr. Moreau,1896,H. G. Wells,3.75,40
Fabricante de lágrimas,2023,Erin Doom,3.67,21
Hacking,2003,Jon Erickson,4.89,9
Management information systems,1945,Kenneth C. Laudon,4.17,6
The Burning Maze,2014,Rick Riordan,4.36,11
Behave: The Biology of Humans at Our Best and Worst,2017,Robert M. Sapolsky,3.68,19
Toxic Parents,1988,Susan Forward,3.00,8
"To Sir Phillip, With Love",2003,Julia Quinn,3.88,17
King of Sloth,2024,Ana Huang,4.00,8
Deja de ser tú,2012,Rachel Copeland,3.27,11
The Sun Also Rises,1926,Ernest Hemingway,3.76,21
"Ready, Alice?",2005,Amanda Haley,4.31,26
Consider Me,2022,Becka Mack,3.67,3
Midnight&#39;s Children,1981,Salman Rushdie,3.88,34
The Devil in the White City,2003,Erik Larson,3.94,51
Annihilation,2014,Jeff VanderMeer,3.61,76
Artificial intelligence: A modern approach,1994,Stuart J. Russell,4.16,19
The Poppy War,2018,R. F. Kuang,3.75,36
When He Was Wicked,2004,Julia Quinn,3.67,18
A Dance With Dragons,2008,George R. R. Martin,4.41,34
How To Talk To Anyone,2021,Steve Robinson,5.00,2
Artemis Fowl,1999,Eoin Colfer,3.82,51
Positive Personality Profiles,1994,Robert A Rohm Ph.D,3.20,10
Tales of a Fourth Grade Nothing,1972,Judy Blume,4.12,25
"Good Vibes, Good Life",2020,Vex King,2.56,9
A walk to remember,1999,Nicholas Sparks,4.15,20
Christine,1983,Stephen King,4.00,39
Fantastic Beasts and Where to Find Them,2001,J. K. Rowling,3.84,50
Shōgun (Asian Saga: Chronological Order #1),1975,James Clavell,4.29,24
The scam,1993,Debashis Basu,4.92,13
The secret life of bees,2000,Sue Monk Kidd,4.06,36
Four Past Midnight,1990,Stephen King,3.95,19
The Subtle Knife,1997,Philip Pullman,4.02,94
Defy Me (Shatter Me),2019,Tahereh Mafi,4.75,12
Station Eleven,2014,Emily St. John Mandel,4.10,70
Behold a Pale Horse,1991,William Cooper,4.50,8
Stellarlune (Keeper of the Lost Cities #9),2022,Shannon Messenger,4.78,18
Tuck Everlasting,1975,Natalie Babbitt,3.81,42
To the Lighthouse,1927,Virginia Woolf,3.72,25
Candide,1746,Voltaire,3.94,68
Invisible Man,1952,Ralph Ellison,4.06,16
The Claiming of Sleeping Beauty,1983,Anne Rice,4.00,14
Without Merit,2017,Colleen Hoover,2.25,4
Mort,1987,Terry Pratchett,4.23,110
Pulang,2015,Tere Liye,4.29,24
"The Green Witch: Your Complete Guide to the Natural Magic of Herbs, Flowers, Essential Oils, and More",2017,Arin Murphy-Hiscock,4.71,7
Foundation and Empire,1945,Isaac Asimov,4.09,123
Then she was gone,2017,Lisa Jewell,4.70,10
The power of now,2004,Eckhart Tolle,4.25,8
Your Next Five Moves,2020,Patrick Bet-David,3.33,6
"Girl, interrupted",1993,Susanna Kaysen,3.96,25
Othello,1622,William Shakespeare,3.79,39
"Il mio nome è Stilton, Geronimo Stilton",1999,Elisabetta Dami,4.23,22
The Life-Changing Magic of Tidying Up,2014,Marie Kondo,3.53,55
